AQS_Site_ID,POC,State,City,CBSA,Local_Site_Name,Address,Datum,Latitude,Longitude,LatLon_Accuracy_meters,Elevation_meters_MSL,Monitor_Start_Date,Last_Sample_Date,Active,Measurement_Scale,Measurement_Scale_Definition,Sample_Duration,Sample_Collection_Frequency,Sample_Collection_Method,Sample_Analysis_Method,Method_Reference_ID,FRMFEM,Monitor_Type,Reporting_Agency,Parameter_Name,Annual_URLs,Daily_URLs
27-013-5510,,Minnesota,Mankato,"Mankato, MN",Mankato – Rosa Parks Elementary School,1001 Heron Drive,WGS84,44.1364,-93.9813,,311,1/1/2024,,Yes,,,1 HOUR,,Teledyne T640,Broadband spectroscopy,,Yes,SLAMS,"Minnesota Pollution Control Agency, Division Of Air Quality",PM2.5 - NAAQS/AQI,,
17-019-0006,3,Illinois,Champaign,"Champaign-Urbana, IL",709 N. Champaign St.,709 N. Champaign St.,WGS84,40.12388586,-88.24055261,3,226,4/1/2024,9/30/2024,Yes,NEIGHBORHOOD,500 M TO 4KM,1 HOUR,EVERY DAY,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,Broadband spectroscopy,EQPM-0516-236,Yes,SLAMS,Illinois Environmental Protection Agency,PM2.5 - NAAQS/AQI,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-019-0006'>2024</a> ,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-019-0006'>2024</a> 
17-019-1001,1,Illinois,Bondville,"Champaign-Urbana, IL",ISWS CLIMATE STATION,TWP RD 500 E.,WGS84,40.05278,-88.37251,5,213,1/1/1999,8/31/2024,Yes,REGIONAL SCALE,50 TO HUNDREDS KM,24 HOUR,EVERY 3RD DAY,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,Gravimetric,RFPS-1006-145,Yes,SLAMS,Illinois Environmental Protection Agency,PM2.5 - NAAQS/AQI,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=1999&site=17-019-1001'>1999</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2000&site=17-019-1001'>2000</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2001&site=17-019-1001'>2001</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2002&site=17-019-1001'>2002</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2003&site=17-019-1001'>2003</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2004&site=17-019-1001'>2004</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2005&site=17-019-1001'>2005</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2006&site=17-019-1001'>2006</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2007&site=17-019-1001'>2007</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2008&site=17-019-1001'>2008</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2009&site=17-019-1001'>2009</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2010&site=17-019-1001'>2010</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2011&site=17-019-1001'>2011</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2012&site=17-019-1001'>2012</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2013&site=17-019-1001'>2013</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2014&site=17-019-1001'>2014</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2015&site=17-019-1001'>2015</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2016&site=17-019-1001'>2016</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2017&site=17-019-1001'>2017</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2018&site=17-019-1001'>2018</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2019&site=17-019-1001'>2019</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2020&site=17-019-1001'>2020</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2021&site=17-019-1001'>2021</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2022&site=17-019-1001'>2022</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2023&site=17-019-1001'>2023</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-019-1001'>2024</a> ,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=1999&site=17-019-1001'>1999</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2000&site=17-019-1001'>2000</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2001&site=17-019-1001'>2001</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2002&site=17-019-1001'>2002</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2003&site=17-019-1001'>2003</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2004&site=17-019-1001'>2004</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2005&site=17-019-1001'>2005</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2006&site=17-019-1001'>2006</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2007&site=17-019-1001'>2007</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2008&site=17-019-1001'>2008</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2009&site=17-019-1001'>2009</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2010&site=17-019-1001'>2010</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2011&site=17-019-1001'>2011</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2012&site=17-019-1001'>2012</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2013&site=17-019-1001'>2013</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2014&site=17-019-1001'>2014</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2015&site=17-019-1001'>2015</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2016&site=17-019-1001'>2016</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2017&site=17-019-1001'>2017</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2018&site=17-019-1001'>2018</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2019&site=17-019-1001'>2019</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2020&site=17-019-1001'>2020</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2021&site=17-019-1001'>2021</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2022&site=17-019-1001'>2022</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2023&site=17-019-1001'>2023</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-019-1001'>2024</a> 
17-031-0001,1,Illinois,Alsip,"Chicago-Naperville-Elgin, IL-IN-WI",VILLAGE GARAGE,4500 W. 123RD ST.,WGS84,41.6709919,-87.7324569,5,188,4/1/2013,8/28/2024,Yes,NEIGHBORHOOD,500 M TO 4KM,24 HOUR,EVERY 6TH DAY,Met One E-SEQ-FRM PM2.5 with VSCC,Gravimetric,RFPS-0717-245,Yes,SLAMS,Illinois Environmental Protection Agency,PM2.5 - NAAQS/AQI,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2013&site=17-031-0001'>2013</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2014&site=17-031-0001'>2014</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2015&site=17-031-0001'>2015</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2016&site=17-031-0001'>2016</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2017&site=17-031-0001'>2017</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2018&site=17-031-0001'>2018</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2019&site=17-031-0001'>2019</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2020&site=17-031-0001'>2020</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2021&site=17-031-0001'>2021</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2022&site=17-031-0001'>2022</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2023&site=17-031-0001'>2023</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-031-0001'>2024</a> ,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2013&site=17-031-0001'>2013</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2014&site=17-031-0001'>2014</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2015&site=17-031-0001'>2015</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2016&site=17-031-0001'>2016</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2017&site=17-031-0001'>2017</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2018&site=17-031-0001'>2018</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2019&site=17-031-0001'>2019</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2020&site=17-031-0001'>2020</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2021&site=17-031-0001'>2021</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2022&site=17-031-0001'>2022</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2023&site=17-031-0001'>2023</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-031-0001'>2024</a> 
17-031-0022,1,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",WASHINGTON HS,3535 E. 114TH ST.,WGS84,41.68716544,-87.53931548,5,178,1/1/1999,8/31/2024,Yes,NEIGHBORHOOD,500 M TO 4KM,24 HOUR,EVERY 3RD DAY,Met One E-SEQ-FRM PM2.5 with VSCC,Gravimetric,RFPS-0717-245,Yes,SLAMS,Illinois Environmental Protection Agency,PM2.5 - NAAQS/AQI,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=1999&site=17-031-0022'>1999</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2000&site=17-031-0022'>2000</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2001&site=17-031-0022'>2001</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2002&site=17-031-0022'>2002</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2003&site=17-031-0022'>2003</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2004&site=17-031-0022'>2004</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2005&site=17-031-0022'>2005</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2006&site=17-031-0022'>2006</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2007&site=17-031-0022'>2007</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2008&site=17-031-0022'>2008</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2009&site=17-031-0022'>2009</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2010&site=17-031-0022'>2010</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2011&site=17-031-0022'>2011</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2012&site=17-031-0022'>2012</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2013&site=17-031-0022'>2013</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2014&site=17-031-0022'>2014</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2015&site=17-031-0022'>2015</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2016&site=17-031-0022'>2016</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2017&site=17-031-0022'>2017</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2018&site=17-031-0022'>2018</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2019&site=17-031-0022'>2019</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2020&site=17-031-0022'>2020</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2021&site=17-031-0022'>2021</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2022&site=17-031-0022'>2022</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2023&site=17-031-0022'>2023</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Annuals.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-031-0022'>2024</a> ,<a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=1999&site=17-031-0022'>1999</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2000&site=17-031-0022'>2000</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2001&site=17-031-0022'>2001</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2002&site=17-031-0022'>2002</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2003&site=17-031-0022'>2003</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2004&site=17-031-0022'>2004</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2005&site=17-031-0022'>2005</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2006&site=17-031-0022'>2006</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2007&site=17-031-0022'>2007</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2008&site=17-031-0022'>2008</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2009&site=17-031-0022'>2009</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2010&site=17-031-0022'>2010</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2011&site=17-031-0022'>2011</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2012&site=17-031-0022'>2012</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2013&site=17-031-0022'>2013</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2014&site=17-031-0022'>2014</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2015&site=17-031-0022'>2015</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2016&site=17-031-0022'>2016</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2017&site=17-031-0022'>2017</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2018&site=17-031-0022'>2018</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2019&site=17-031-0022'>2019</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2020&site=17-031-0022'>2020</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2021&site=17-031-0022'>2021</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2022&site=17-031-0022'>2022</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2023&site=17-031-0022'>2023</a> <a href='https://www3.epa.gov/cgi-bin/broker?_service=data&_program=dataprog.Daily.sas&check=void&polname=PM2.5 - NAAQS/AQI&debug=0&year=2024&site=17-031-0022'>2024</a> 
